symbol,time,price,upperBand,lowerBand,bandWidth,rsi,upperSlope,realSlope,lowerSlope,upperI,realI,lowerI,action
INO,2020-05-13 00:47:56.801629,13.324700355529785,13.239023848123425,9.794975785665637,0.724636069555357,52.60121118305049,0.02183622130980351,0.43115821525232123,0.20374227468373937,15.028829569223717,10.24369693869975,5.782644494991189,hold
DIS,2020-05-13 00:48:01.660720,106.26000213623047,111.0806333627297,100.86936663727029,0.12437393268923964,51.90959902322156,0.20301610588320468,0.645821073162022,0.012767511506533985,109.90522303247839,104.11970087307603,97.94458216744363,hold
UBER,2020-05-13 00:48:06.289082,33.2599983215332,33.24442873326074,27.14857129725684,0.2531253269205028,66.40501991134175,0.3318014949909544,0.6052985689533292,-0.05334626319628449,30.908602650761928,29.592164281588882,25.9488229962335,hold
AMD,2020-05-13 00:48:11.132163,54.9099006652832,55.19664589940028,50.52935431422277,0.14864913368218632,45.728993350626176,-0.09532122086841736,0.6067909696208897,0.3074928551439384,58.86723169121609,51.892985101956036,48.702887790795856,hold
PYPL,2020-05-13 00:48:16.114486,143.39999389648438,147.70847356065724,116.93352930799512,0.40030451721672505,79.58412284568328,2.5468287801944625,1.3818659995918847,-0.2779630240599716,132.74621265988478,137.51477483493179,99.37356301541915,not in portfolio
FB,2020-05-13 00:48:20.760292,213.47000122070312,215.74312049922779,198.69690025272533,0.29429159315402564,64.46743894834603,1.7001930246604209,0.6804473649210006,0.5190085102371175,212.45373908949216,209.84074652372902,162.14110043359554,hold
BRK-B,2020-05-13 00:48:25.603725,174.00999450683594,187.0630937637743,169.93290538173352,0.13423185082590697,1.4052285762472678,-0.27717150713340355,0.17343185197061575,-0.7086793252221586,197.14856198289758,173.7823900820604,174.82802212992456,not in portfolio
DDOG,2020-05-13 00:48:30.143972,68.95500183105469,60.718462945565314,39.226537512198355,0.6062558388660451,96.22549317533519,1.6061815646736075,3.0643282933021663,-0.5045099358639208,47.35405646773105,45.92888117548245,36.10556373759304,not in portfolio
AMZN,2020-05-13 00:48:35.045007,2391.389892578125,2442.758474128905,2290.31598876172,0.07475302148926181,47.8117261631262,-12.883222879951578,7.587065283931903,28.185251069084117,2523.415647344632,2358.5302406424908,2124.8441131789223,hold
MSFT,2020-05-13 00:48:40.167638,185.17999267578125,186.85572444310287,175.86427372584245,0.11804182112900947,52.61307104183849,0.5790004410588925,0.5237320857261544,0.5140817819508184,184.18931925787612,183.0795493054746,164.13665085949356,buy
WMT,2020-05-13 00:48:51.568346,124.58999633789062,124.46497946927006,121.46501931002682,0.10770742337613684,18.011093152601305,-0.05040195433404353,0.34626781406687274,0.017525338952090727,133.26937079420256,122.20044981543697,119.32602647178682,hold
XOM,2020-05-13 00:48:56.710991,44.64849853515625,46.18007503544185,42.585900916706585,0.1916010511098,9.57167256908977,0.13368633250562614,0.23825913044943745,0.016634870697717335,46.24943599743524,43.60626539543494,38.68467020305341,hold
TTD,2020-05-13 00:49:01.850299,313.17999267578125,322.1486031736517,283.56738803728587,0.510470575646767,83.52469200050058,3.318532871110196,-1.2414188669688666,2.330429542620704,321.1348660317687,317.2259667239972,188.0352376961129,not in portfolio
PTON,2020-05-13 00:49:07.353737,47.20000076293945,46.35567091939914,29.786328897495387,0.5792450835878895,65.02019146940084,1.1019079224620514,0.9291047053550607,-0.2777885353620595,38.409050138335786,40.42850636724216,26.81581544198101,hold
WORK,2020-05-13 00:49:13.000452,31.649999618530273,31.64699977312978,25.61420055951182,0.2498823112857662,54.37733470994275,0.3295105308915358,0.5167910590100645,0.03665366660319896,29.48941643325815,28.882984958477874,24.285523627599368,hold
BYND,2020-05-13 00:49:18.763721,139.61000061035156,139.90662722829538,87.83937344309135,0.7690786511249253,71.17699864592109,3.279392015349714,2.004926425307544,0.15366775674319014,119.79913466156336,124.95820765708808,61.4462980070941,not in portfolio
HD,2020-05-13 00:49:24.316548,236.22000122070312,236.63484972471133,217.03514844423398,0.22139953896707823,71.44162356516614,1.7401128231109937,1.8211199632331507,0.2942975340084396,230.11151156470865,227.0168614174003,191.26433853203665,hold
TVIX,2020-05-13 00:49:30.322625,156.22500610351562,226.48609564149,150.1912999883928,0.7063370581641264,34.542008749422266,0.7150800487066329,-8.817060669856287,-5.254017506346416,285.0730698926567,196.99106882579292,170.7384806235003,hold
GOOG,2020-05-13 00:49:35.333114,1392.06005859375,1399.5303954654898,1318.911645550135,0.1650479221284644,54.08621484690685,7.294155970402252,7.015670548624068,2.6463375762686967,1374.1356495452144,1361.0661566435401,1188.013185320982,buy
NVDA,2020-05-13 00:49:45.366754,318.82598876953125,319.8879250872878,283.1380697857591,0.16875939665146109,61.303805987313744,2.0172893117852158,3.6354156038654395,0.7090799481771701,306.1700179570485,301.1420338189424,266.27606754865053,hold
VZ,2020-05-13 00:49:50.273000,55.61000061035156,57.731151650969686,55.34484932559281,0.061762780127069476,27.337977024398114,0.00688068388542972,0.022238944893452666,-0.0668506827148293,58.87670641812144,55.98373162568505,55.81251016148662,not in portfolio
CVX,2020-05-13 00:49:55.588717,92.58999633789062,95.09518166726417,89.8148204689663,0.1991445756996366,43.474915125395455,0.42861020507805025,0.24007410077906377,0.09827034388307626,95.25722585517343,92.15179306713503,79.2659102495811,hold
GOOGL,2020-05-13 00:50:00.617928,1391.5899658203125,1398.3851096927108,1316.085886401039,0.16892818272919685,52.431380713626844,7.417936772172914,7.522598494344684,2.7300100780486503,1372.2841141553163,1357.7827203095849,1182.14765273047,already in portfolio
ADBE,2020-05-13 00:50:05.343505,369.17999267578125,372.8760658612332,344.9839378008762,0.14503814080084745,55.29683949923969,1.4852070686835235,1.0728377157182836,1.2311964483990265,364.9731787721135,364.44805634911376,317.22649013493816,hold
INTC,2020-05-13 00:50:10.107860,59.21009826660156,60.91511527709238,57.42536705322988,0.0786621817474355,45.55572499015028,0.009676068707307089,0.06762390706076551,0.0669177488185266,61.34831842070234,59.282672255786494,56.35002803329173,hold
CSCO,2020-05-13 00:50:14.579314,43.720001220703125,43.72516472690398,40.68015524990266,0.083373888453624,46.955058252658176,0.07930580448533613,0.41529849038195266,0.0010897033271633767,43.33178707661873,41.347164837282094,40.38170550760978,hold
PXD,2020-05-13 00:50:19.079697,85.61000061035156,90.1828577881094,81.10314227292577,0.2761899089834649,38.99685946755073,0.4625754556729433,0.07343320704218165,0.07385720341929107,89.89165069956108,85.57238689821158,69.46973797094748,hold
ERI,2020-05-13 00:50:23.922779,24.100000381469727,23.107836738320497,17.544164070395322,0.5585652949929354,62.416116476083204,0.24477633876264238,0.7497761569806001,-0.03088826579511238,22.0306151965331,18.55462723347678,13.727698554687601,hold
KO,2020-05-13 00:50:28.836941,45.01499938964844,46.56705349173107,44.46494571481189,0.08344981884391221,23.793005286870738,-0.16391887002743183,0.06673454170796408,0.006114728199947693,49.017633933297844,45.01742337354973,43.95464536767654,hold
COST,2020-05-13 00:50:33.504615,306.57000732421875,309.7245652575304,302.3654371838758,0.06118190659245732,39.85440332699142,-0.15145853704746484,0.1941025008016558,0.41021248155831097,318.3265076505216,306.80851495088035,296.11906675406675,hold
CMG,2020-05-13 00:50:38.480676,943.0549926757812,935.6745743555258,854.0064192968179,0.21607616587640613,59.179934667984824,3.4801932533335496,10.765969803084188,6.68704521557679,935.6717852313554,883.3282825982393,732.6224433935862,hold
AAL,2020-05-13 00:50:43.547609,9.71500015258789,11.936888552235587,8.733111714793221,0.3529805420855162,42.916541931705574,-0.07266133525927508,0.07925377319108196,-0.042823733674012945,12.95809678958581,9.52708960291165,9.007761651382717,hold
